Pane,"Cumulative biomass",,,,,,,,,,
Data,"1: Whales","2: Seals","3: Cod","4: Whiting","5: Mackerel","6: Anchovy","7: Shrimp","8: Benthos","9: Zooplankton","10: Phytoplankton","11: Detritus"
1970,0.0799999982118607,0.0608999989926815,3,1.79999995231628,1.20000004768372,7,0.800000011920929,32.4182472229004,14.8000001907349,18,10
1970.08333333333,0.080132283270359,0.0606413371860981,3.02037596702576,1.79089450836182,1.19708824157715,6.92425298690796,0.796655356884003,31.7365818023682,11.5373802185059,12.8227558135986,8.6357307434082
1970.16666666667,0.0802557095885277,0.060356043279171,3.03922367095947,1.78017377853394,1.18508076667786,6.67951345443726,0.786059737205505,30.050479888916,8.42845630645752,11.5163288116455,7.18496084213257
1970.25,0.0803874954581261,0.060047335922718,3.05873537063599,1.77203476428986,1.16859698295593,6.27670049667358,0.769046425819397,27.5868682861328,6.38766765594482,12.8231058120728,6.1813702583313
1970.33333333333,0.0805528238415718,0.0597128197550774,3.08064913749695,1.77365446090698,1.15468454360962,5.70009326934814,0.745256721973419,24.7510280609131,5.38876819610596,15.5680904388428,5.75027656555176
1970.41666666667,0.0807625353336334,0.0593418814241886,3.10368609428406,1.78989791870117,1.14955103397369,4.95537328720093,0.712739050388336,22.0384998321533,5.15910911560059,18.1445083618164,5.7575798034668
1970.5,0.0809445902705193,0.0589228011667728,3.12115001678467,1.80256307125092,1.14000761508942,4.34407186508179,0.67010772228241,19.8740367889404,5.39066076278687,19.5838584899902,5.97348213195801
1970.58333333333,0.0811019390821457,0.0584521554410458,3.13111257553101,1.80820453166962,1.12608969211578,3.85416984558105,0.618290424346924,18.4493293762207,5.80218029022217,19.9371509552002,6.22174739837646
1970.66666666667,0.0812385007739067,0.0579332113265991,3.13316345214844,1.80471086502075,1.10781371593475,3.46558880805969,0.560084581375122,17.7197303771973,6.19337558746338,19.6856956481934,6.41464281082153
1970.75,0.08135836571455,0.0573740117251873,3.12774682044983,1.7909095287323,1.0851503610611,3.15609002113342,0.499054610729218,17.5249805450439,6.47444772720337,19.2611465454102,6.53346633911133
1970.83333333333,0.0814655646681786,0.0567861646413803,3.11554431915283,1.76615965366364,1.05814075469971,2.90638327598572,0.438786208629608,17.695951461792,6.64455032348633,18.9025058746338,6.59623527526855
1970.91666666667,0.0815601721405983,0.0561833567917347,3.09708309173584,1.72923576831818,1.02606999874115,2.71773505210876,0.382308065891266,18.0988426208496,6.74377012252808,18.686149597168,6.63048553466797
1971,0.0816424489021301,0.0555794723331928,3.07296133041382,1.67895448207855,0.988108038902283,2.593909740448,0.331672489643097,18.6387481689453,6.81465625762939,18.5966453552246,6.65808010101318
1971.08333333333,0.0817155539989471,0.0549864619970322,3.04243326187134,1.6139178276062,0.943910241127014,2.52934837341309,0.287812054157257,19.2482662200928,6.88536262512207,18.5862884521484,6.69076728820801
1971.16666666667,0.081776462495327,0.0544127263128757,3.00846767425537,1.53596758842468,0.897756457328796,2.51537823677063,0.250795781612396,19.8821182250977,6.96835613250732,18.6097583770752,6.73181915283203
