"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,FeedingTime

timestep\group,1,2,3,4,5,6,7,8,9,10,11
58,2,1.0425313,0.6556953,0.7067538,0.7029404,0.9118807,1.0150971,1.0632738,1,1,1
59,2,1.0383123,0.65357274,0.7149989,0.71372336,0.915628,1.0115464,1.0638231,1,1,1
60,2,1.0343168,0.65176684,0.72296447,0.7243321,0.91939986,1.0082012,1.0643264,1,1,1
61,2,1.0305276,0.644287,0.7306483,0.73475856,0.9231543,1.0050457,1.0647961,1,1,1
62,2,1.0272506,0.6386691,0.73800397,0.7450217,0.9267304,1.0022695,1.0650398,1,1,1
63,2,1.0242581,0.6345297,0.745046,0.75511384,0.930067,0.9997263,1.0651324,1,1,1
64,2,1.0214328,0.6315624,0.7517899,0.7650547,0.9331654,0.9973332,1.065161,1,1,1
65,2,1.0187134,0.62952024,0.7582443,0.7748701,0.9360602,0.9950423,1.065201,1,1,1
66,2,1.0160706,0.6282061,0.76440984,0.7845781,0.93879366,0.9928286,1.0653037,1,1,1
67,2,1.0134969,0.6274664,0.7702835,0.7941841,0.9414006,0.990684,1.0654924,1,1,1
68,1.9976268,1.0109974,0.6271849,0.77586365,0.80368143,0.9439035,0.98861253,1.0657684,1,1,1
69,1.9859183,1.0085851,0.6272772,0.7811538,0.8130564,0.9463122,0.9866255,1.0661173,1,1,1
70,1.9661522,1.0062759,0.62768406,0.78616446,0.82229066,0.9486281,0.98473716,1.066516,1,1,1
71,1.9396173,1.0040845,0.6283655,0.79091287,0.83136535,0.9508479,0.98296136,1.0669392,1,1,1
72,1.9075752,1.0020224,0.62929493,0.79542106,0.84026337,0.95296717,0.9813088,1.0673633,1,1,1
73,1.8712271,1.0000968,0.6282411,0.7997134,0.8489702,0.9549826,0.97978675,1.0677696,1,1,1
74,1.8320942,0.99845827,0.62786114,0.8036702,0.85747933,0.9568323,0.9784742,1.0680581,1,1,1
75,1.7910935,0.99701023,0.62804145,0.8073427,0.8657706,0.958494,0.977317,1.0682436,1,1,1
76,1.7490498,0.9956998,0.6286888,0.8107761,0.873842,0.95998204,0.9762811,1.0683577,1,1,1
77,1.7066714,0.99449444,0.62972367,0.81400377,0.8816958,0.96132845,0.97534215,1.0684336,1,1,1
78,1.6645471,0.99337274,0.63107765,0.81704664,0.8893302,0.9625679,0.9744823,1.0684979,1,1,1
79,1.6231555,0.99232185,0.63269323,0.81991625,0.896737,0.9637301,0.97368985,1.068567,1,1,1
80,1.5828784,0.9913348,0.6345233,0.82261896,0.9039027,0.9648363,0.9729578,1.0686485,1,1,1
81,1.5440148,0.990409,0.6365305,0.8251594,0.9108116,0.96589917,0.9722834,1.0687419,1,1,1
82,1.506793,0.9895444,0.6386863,0.8275423,0.9174466,0.966924,0.9716663,1.0688429,1,1,1
83,1.471381,0.98874164,0.6409691,0.82977444,0.9237934,0.96791077,0.9711069,1.0689446,1,1,1
84,1.437895,0.9880016,0.6433628,0.83186454,0.9298409,0.968856,0.9706056,1.0690397,1,1,1
85,1.4064074,0.9873241,0.6440473,0.83382237,0.93558216,0.9697541,0.9701623,1.0691216,1,1,1
86,1.3772085,0.9868154,0.6451261,0.8354918,0.94101954,0.97054654,0.9698358,1.0691135,1,1,1
87,1.350248,0.9864035,0.64652723,0.8369186,0.94614524,0.9712083,0.96958154,1.0690324,1,1,1
88,1.3254644,0.98604965,0.64819,0.83814484,0.9509733,0.9717515,0.96937245,1.0689104,1,1,1
89,1.3027743,0.98573005,0.6500603,0.8392024,0.95552295,0.9722053,0.9691905,1.0687791,1,1,1
90,1.2820746,0.98543036,0.65209025,0.84011257,0.9598096,0.97260094,0.96902376,1.0686619,1,1,1
91,1.2632495,0.98514366,0.65423894,0.8408892,0.9638418,0.9729644,0.9688664,1.0685718,1,1,1
92,1.2461784,0.9848681,0.6564731,0.84154236,0.9676221,0.9733127,0.96871686,1.0685123,1,1,1
93,1.2307419,0.9846055,0.6587672,0.8420812,0.97115034,0.9736541,0.968577,1.0684795,1,1,1
94,1.216825,0.98435926,0.661103,0.8425163,0.9744252,0.9739899,0.9684506,1.0684654,1,1,1
95,1.2043203,0.98413366,0.66346765,0.84286016,0.97744685,0.97431606,0.9683414,1.0684601,1,1,1
96,1.1931285,0.9839318,0.6658529,0.8431271,0.98021823,0.97462535,0.9682527,1.068454,1,1,1
97,1.1831573,0.98375565,0.66911024,0.8433327,0.98274535,0.97490937,0.9681867,1.068439,1,1,1
98,1.1743207,0.98359156,0.67197114,0.84326893,0.9850282,0.9751699,0.96811455,1.0684313,1,1,1
99,1.166575,0.98345375,0.67452025,0.84299654,0.9870737,0.9753882,0.96805114,1.0684139,1,1,1
100,1.1598701,0.98334664,0.6768258,0.84257275,0.9888961,0.9755535,0.96800303,1.0683784,1,1,1
101,1.1541506,0.9832688,0.6789406,0.8420479,0.9905127,0.9756613,0.96797156,1.0683222,1,1,1
102,1.1493558,0.9832158,0.68090487,0.84146446,0.9919422,0.9757114,0.9679547,1.068246,1,1,1
103,1.1454216,0.98318195,0.68274814,0.8408561,0.9932022,0.9757067,0.9679488,1.0681528,1,1,1
104,1.1422826,0.9831612,0.6844916,0.8402482,0.9943078,0.9756511,0.9679495,1.0680465,1,1,1
105,1.1398739,0.9831478,0.6861498,0.8396593,0.9952724,0.9755496,0.9679528,1.0679303,1,1,1
106,1.1381311,0.983137,0.6877327,0.83910143,0.9961065,0.9754069,0.9679549,1.0678073,1,1,1
107,1.1369936,0.98312527,0.6892471,0.83858204,0.99681836,0.9752265,0.9679527,1.0676793,1,1,1
108,1.136404,0.98310935,0.69069713,0.8381047,0.9974144,0.9750115,0.9679438,1.0675473,1,1,1
109,1.136309,0.9830873,0.69045573,0.8376695,0.9978994,0.97476375,0.9679262,1.0674113,1,1,1
110,1.1368623,0.98315525,0.69034874,0.8370864,0.9982796,0.9744352,0.9679489,1.0672075,1,1,1
111,1.1379933,0.9832501,0.6903467,0.8363926,0.99854755,0.97400486,0.9679744,1.0669502,1,1,1
112,1.139644,0.9833386,0.69042206,0.835621,0.998715,0.97348636,0.9679816,1.0666674,1,1,1
113,1.1417568,0.9834011,0.6905471,0.8347941,0.9987961,0.97290856,0.9679566,1.0663865,1,1,1
114,1.1442716,0.9834268,0.690695,0.83392453,0.99879915,0.9723012,0.96789175,1.0661265,1,1,1
115,1.1471286,0.98341095,0.6908421,0.83301777,0.9987242,0.97168785,0.9677836,1.0658967,1,1,1
116,1.1502705,0.9833536,0.69096977,0.8320767,0.99856496,0.97108305,0.96763283,1.0656983,1,1,1
117,1.1536456,0.98325765,0.6910648,0.8311035,0.998312,0.9704931,0.9674428,1.0655253,1,1,1
118,1.1572094,0.9831278,0.6911191,0.83010197,0.99795556,0.9699168,0.9672183,1.065369,1,1,1
119,1.1609243,0.9829683,0.6911292,0.8290782,0.99748755,0.96934885,0.9669637,1.065219,1,1,1
120,1.1647593,0.982783,0.6910946,0.82803994,0.9969029,0.9687815,0.9666828,1.0650665,1,1,1
121,1.1686887,0.9825739,0.69264364,0.82699686,0.9962004,0.9682059,0.9663779,1.0649039,1,1,1
122,1.1726357,0.9822983,0.69352275,0.8257033,0.9953682,0.9676398,0.96599746,1.0647718,1,1,1
123,1.1766381,0.9819915,0.69386506,0.82422245,0.9944072,0.9670655,0.96557134,1.0646454,1,1,1
