"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,Biomass

timestep\group,1,2,3,4,5,6,7,8,9,10,11
46,0.07672148,0.043634355,2.7896628,1.2246026,0.7419801,5.4032874,0.038634017,28.97026,11.7259865,18.34121,8.770206
47,0.07655485,0.043463085,2.8053207,1.2465074,0.75862265,5.4610057,0.03799053,29.16115,11.848377,18.326035,8.819543
48,0.07639189,0.043296434,2.8215113,1.2678739,0.7749471,5.5183887,0.037414532,29.344913,11.966476,18.311272,8.867029
49,0.07623268,0.04320071,2.8346598,1.2882551,0.79092,5.576195,0.036909122,29.53197,12.079906,18.295937,8.9124365
50,0.07607743,0.043108992,2.848258,1.308047,0.80651474,5.63315,0.036462467,29.709173,12.18836,18.281668,8.955838
51,0.07592616,0.043021057,2.8622897,1.327242,0.821713,5.6890216,0.03606965,29.876654,12.2924385,18.268744,8.99744
52,0.07577888,0.042936683,2.8767326,1.3458374,0.8365038,5.743584,0.035726175,30.034863,12.392593,18.256868,9.037407
53,0.07563558,0.042855654,2.8915603,1.3638346,0.8508814,5.7966285,0.035427935,30.184454,12.489033,18.245678,9.075812
54,0.07549627,0.042777766,2.9067435,1.3812382,0.86484337,5.8479643,0.03517122,30.326157,12.581805,18.234911,9.11268
55,0.07536093,0.04270283,2.922251,1.3980547,0.8783894,5.8974237,0.034952708,30.460688,12.670874,18.224457,9.148003
56,0.07522954,0.042630676,2.9380515,1.414292,0.89152026,5.9448643,0.034769453,30.588688,12.756188,18.21428,9.181771
57,0.075102046,0.04256114,2.9541144,1.4299593,0.90423733,5.990171,0.03461886,30.710684,12.837711,18.204414,9.213984
58,0.07497841,0.042494077,2.9704106,1.4450667,0.9165423,6.033258,0.03449863,30.82708,12.915438,18.194899,9.244648
59,0.07485856,0.042429354,2.9869118,1.4596248,0.9284367,6.0740676,0.03440674,30.938156,12.989393,18.18578,9.2737875
60,0.07474244,0.042366847,3.0035915,1.473644,0.9399219,6.112573,0.034341387,31.044098,13.059634,18.177082,9.30143
61,0.07462992,0.042371478,3.0202565,1.4858396,0.9509961,6.1474366,0.034291122,31.130936,13.127266,18.17205,9.328147
62,0.07452068,0.042377684,3.0370798,1.4975414,0.96166277,6.180353,0.03426163,31.2172,13.193274,18.165827,9.354075
63,0.07441467,0.04238544,3.0540144,1.5087556,0.97192144,6.211426,0.034252167,31.302961,13.256092,18.158024,9.378672
64,0.07431182,0.042394716,3.071024,1.5194886,0.98176765,6.2407236,0.034262054,31.387695,13.314801,18.149487,9.401621
65,0.07421205,0.042405482,3.0880804,1.529749,0.99119604,6.268292,0.034290686,31.47053,13.369139,18.14109,9.422853
66,0.07411528,0.04241771,3.1051624,1.5395486,1.0002025,6.294165,0.034337483,31.550474,13.419273,18.13338,9.442452
67,0.07402142,0.042431355,3.1222522,1.5489013,1.0087852,6.3183737,0.034401804,31.626598,13.465558,18.126564,9.460556
68,0.073930405,0.04244637,3.1393337,1.5578228,1.0169449,6.3409514,0.034482908,31.698154,13.508382,18.120644,9.477316
69,0.07384256,0.042462695,3.156391,1.5663294,1.0246845,6.3619413,0.034579944,31.764633,13.548089,18.115503,9.492857
70,0.07375945,0.04248026,3.173408,1.5744373,1.0320108,6.381398,0.03469195,31.825777,13.584942,18.11099,9.507277
71,0.07368239,0.04249899,3.1903677,1.5821613,1.0389315,6.399383,0.03481789,31.881546,13.619119,18.106941,9.520641
72,0.073612444,0.042518806,3.2072518,1.5895144,1.0454555,6.4159594,0.034956686,31.932077,13.650732,18.103241,9.532992
73,0.07355042,0.04260509,3.2223315,1.5953543,1.0515909,6.4306283,0.03510346,31.972021,13.680613,18.101933,9.544704
74,0.073496826,0.042692304,3.2373288,1.6008847,1.0573506,6.444199,0.035259873,32.009327,13.7094145,18.099787,9.555929
75,0.07345201,0.042780407,3.252217,1.6061176,1.0627451,6.456775,0.035425242,32.044456,13.736262,18.096716,9.566358
76,0.07341616,0.042869356,3.2669737,1.6110628,1.0677835,6.4684324,0.035598937,32.077602,13.760701,18.093208,9.575836
77,0.07338931,0.042959116,3.28158,1.6157292,1.0724748,6.479223,0.03578041,32.108757,13.782648,18.089722,9.584347
78,0.07337138,0.043049656,3.296021,1.6201266,1.0768293,6.489184,0.035969198,32.13781,13.802235,18.08654,9.591949
79,0.0733622,0.043140944,3.3102849,1.6242653,1.0808585,6.4983435,0.036164857,32.164608,13.819687,18.083767,9.598736
80,0.07336152,0.04323295,3.3243613,1.6281567,1.0845752,6.506724,0.036366966,32.189026,13.835259,18.081425,9.604802
81,0.07336903,0.043325644,3.3382416,1.6318121,1.0879936,6.5143466,0.036575083,32.21099,13.849193,18.079475,9.610239
82,0.07338438,0.043418992,3.3519175,1.6352432,1.0911288,6.521236,0.03678875,32.230507,13.861692,18.077864,9.615122
83,0.07340717,0.04351296,3.365381,1.6384611,1.0939963,6.5274196,0.037007492,32.247646,13.872934,18.076511,9.619516
84,0.073437,0.043607514,3.3786242,1.6414762,1.0966115,6.5329294,0.037230838,32.262547,13.883051,18.07536,9.623473
85,0.0734734,0.04370257,3.3895183,1.6431031,1.0989889,6.537332,0.03745513,32.270866,13.892853,18.076437,9.627346
86,0.07351586,0.043798022,3.4002278,1.6445976,1.1011461,6.541297,0.03768222,32.279068,13.902864,18.076431,9.63125
