"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,"PredationMortality of Benthos"

timestep\group,Whales,Seals,Cod,Whiting,Shrimp,Benthos,
1,0.0021978552,0.024992857,0.25325984,0.07493329,0.29192784,1.1827027
2,0.0022014764,0.024911866,0.24982443,0.07504556,0.28829575,1.1765249
3,0.0023532812,0.02595797,0.26306936,0.080411606,0.29519504,1.2522765
4,0.0026287918,0.027763285,0.28960997,0.09047817,0.30751345,1.399019
5,0.002922073,0.029744145,0.31833154,0.10189887,0.3172272,1.5613868
6,0.0030852929,0.031481337,0.33506343,0.10932424,0.31878245,1.6563421
7,0.0030835045,0.03293488,0.33551383,0.10969001,0.31191698,1.6421161
8,0.0029481498,0.03409962,0.3236403,0.10423197,0.297889,1.5437654
9,0.0027501907,0.034870394,0.30626133,0.0961456,0.2773486,1.412121
10,0.0025504993,0.035167903,0.28876084,0.0881015,0.25169387,1.2867391
11,0.002383207,0.03503414,0.27416563,0.08147659,0.22350286,1.186705
12,0.0022611583,0.034587335,0.26365814,0.07665064,0.19547679,1.1163146
13,0.0021827887,0.03394211,0.25817803,0.07349125,0.16951492,1.0725702
14,0.0021398435,0.033185195,0.25487882,0.071685866,0.14660162,1.0501256
15,0.0021253626,0.032387603,0.25415963,0.07090517,0.12699756,1.0435591
16,0.0021328921,0.03160069,0.2552465,0.07086879,0.110543676,1.0483232
17,0.00215722,0.03089896,0.257633,0.07135206,0.09688177,1.0608015
18,0.0021930658,0.03026636,0.2607709,0.07217694,0.08558778,1.0781496
19,0.002235706,0.029684903,0.26416737,0.07319902,0.07624488,1.0980879
20,0.0022812483,0.029149756,0.26742256,0.07429902,0.06847949,1.1187598
21,0.0023264806,0.028658977,0.27022386,0.07537978,0.06197516,1.13868
22,0.0023589297,0.02821156,0.27235904,0.0763665,0.05647349,1.156734
23,0.0023839849,0.027807586,0.27373052,0.077208154,0.051768865,1.1721922
24,0.0024038341,0.027440023,0.27432486,0.07787755,0.04770059,1.1847068
25,0.0024183283,0.027099762,0.2752124,0.07836951,0.0441418,1.1942561
26,0.0024278488,0.026777904,0.27445287,0.0786963,0.04100068,1.20112
27,0.0024330716,0.026468275,0.27320898,0.07888036,0.038206372,1.2057028
28,0.002434965,0.026163697,0.27163061,0.07895382,0.035704087,1.2085474
29,0.00243455,0.025859285,0.26985803,0.07895057,0.033452574,1.2102102
30,0.0024327782,0.02555206,0.26800987,0.07890229,0.031420387,1.2111983
31,0.0024304553,0.025240658,0.2661782,0.07883578,0.029582977,1.2119328
32,0.0024282003,0.024924964,0.26442805,0.07877162,0.027920445,1.2127287
33,0.002426441,0.024605801,0.26280054,0.07872407,0.026416117,1.2137984
34,0.002425429,0.02428459,0.2613174,0.078701474,0.025055485,1.215259
35,0.0024252664,0.023963107,0.25998554,0.07870725,0.02382554,1.2171491
36,0.0024259426,0.023643168,0.2588023,0.07874102,0.022714403,1.2194508
37,0.0024273647,0.02336105,0.2603486,0.078800075,0.021707918,1.2220697
38,0.0024293999,0.023082927,0.25927255,0.07887915,0.020798665,1.2249696
39,0.0024317005,0.022812923,0.25831747,0.078967094,0.019978428,1.2279565
40,0.0024341699,0.022549994,0.25747636,0.07906063,0.019237801,1.2309754
