"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,Mortality

timestep\group,1,2,3,4,5,6,7,8,9,10,11
48,0.060127996,0.20020473,0.2835072,0.4405042,0.5558235,1.0952783,3.2376137,2.8690886,34.637215,100.04976,0
49,0.060125314,0.18041904,0.29115945,0.4487663,0.5592665,1.0947299,3.2139544,2.8671925,34.65634,100.83743,0
50,0.06012244,0.17949499,0.29073703,0.45348895,0.5631266,1.096664,3.1944983,2.8715522,34.67591,101.60225,0
51,0.060119543,0.17858534,0.29020375,0.45828205,0.5673039,1.0988181,3.175674,2.8760712,34.69326,102.3376,0
52,0.06011662,0.1777079,0.2896057,0.46310586,0.5717177,1.1012714,3.1577165,2.8805947,34.708878,103.04418,0
53,0.06011368,0.17687115,0.28897882,0.4679239,0.57629657,1.1040572,3.1407359,2.8849795,34.72349,103.72321,0
54,0.060110718,0.1760785,0.2883504,0.47270548,0.5809791,1.1071693,3.1247694,2.8891206,34.737583,104.37556,0
55,0.060107756,0.17533047,0.28774112,0.47742558,0.5857145,1.1105847,3.1098065,2.8929555,34.751404,105.001595,0
56,0.06010479,0.17462584,0.2871656,0.48206478,0.5904622,1.1142671,3.0958095,2.8964643,34.765007,105.601395,0
57,0.06010186,0.17396228,0.28663385,0.4866079,0.59519064,1.118174,3.0827184,2.899664,34.778385,106.17502,0
58,0.060098935,0.17333691,0.28615186,0.49104375,0.599876,1.1222564,3.0704677,2.9025908,34.791466,106.72246,0
59,0.060096063,0.1727467,0.28572288,0.49536443,0.60450226,1.1264676,3.0589879,2.9052956,34.804188,107.24391,0
60,0.060093224,0.17218879,0.28534785,0.49956486,0.6090584,1.1307596,3.048213,2.907829,34.8165,107.73977,0
61,0.060090464,0.15292603,0.29399285,0.51460946,0.61354,1.1380779,3.041685,2.9175956,34.82564,108.24239,0
62,0.060087956,0.1524278,0.29280576,0.5183147,0.617941,1.1421183,3.0321736,2.9189746,34.83186,108.697464,0
63,0.06008548,0.15199627,0.29191464,0.521949,0.6222719,1.1460203,3.0237043,2.9198802,34.84204,109.12959,0
64,0.060083047,0.15160185,0.29125765,0.5255018,0.62653273,1.1497167,3.01591,2.920543,34.854454,109.537895,0
65,0.060080666,0.15122932,0.29078588,0.52896637,0.63073224,1.1532041,3.0085773,2.9212067,34.86737,109.920654,0
66,0.060078345,0.15087068,0.29046008,0.5323342,0.6348799,1.1565111,3.0015821,2.9220655,34.879696,110.27736,0
67,0.06007608,0.15052216,0.29024914,0.5355956,0.638982,1.1596743,2.9948645,2.9232323,34.890965,110.608894,0
68,0.06007387,0.15018283,0.29012915,0.53874105,0.6430393,1.1627238,2.9884095,2.9247386,34.90111,110.9168,0
69,0.060000096,0.1498534,0.2900812,0.5417616,0.64704186,1.1656711,2.9822323,2.926552,34.910263,111.202896,0
70,0.059644684,0.14953557,0.29008964,0.54464895,0.65096384,1.1685117,2.9763665,2.9285994,34.91864,111.46861,0
71,0.059046254,0.1492314,0.2901458,0.54740644,0.6547989,1.1712453,2.970849,2.9307907,34.92646,111.71499,0
72,0.05824381,0.14894286,0.29024404,0.5500417,0.65854114,1.1738678,2.9657147,2.9330363,34.933895,111.942986,0
73,0.05727552,0.13000748,0.30008984,0.5617711,0.66218567,1.1775998,2.9623256,2.9381378,34.939114,112.17525,0
74,0.05617775,0.12975535,0.29992604,0.5640648,0.6657259,1.17986,2.958024,2.939886,34.942524,112.375305,0
75,0.054996364,0.1295406,0.2998689,0.5662264,0.6691636,1.1819495,2.954312,2.9413111,34.948086,112.56119,0
76,0.053759046,0.12935072,0.29990005,0.5682744,0.6724935,1.1838473,2.9510496,2.9424694,34.954723,112.73265,0
77,0.052490693,0.12917884,0.30000457,0.57022566,0.6757167,1.1855699,2.9481452,2.9434588,34.961502,112.88889,0
78,0.051212654,0.12902069,0.30016977,0.57209164,0.6788353,1.1871498,2.9455297,2.9443736,34.967884,113.03013,0
79,0.04994266,0.12887348,0.30038485,0.5738785,0.68184936,1.1886225,2.9431553,2.945284,34.973648,113.157036,0
80,0.048695117,0.12873559,0.3006408,0.57558835,0.6847569,1.1900173,2.9409904,2.9462276,34.978725,113.27104,0
81,0.047481492,0.1286061,0.30093044,0.5772217,0.6875537,1.1913542,2.9390168,2.9472158,34.983166,113.373436,0
82,0.04631076,0.12848462,0.301248,0.5787788,0.69023496,1.1926464,2.9372275,2.948237,34.98705,113.4656,0
83,0.04518976,0.12837124,0.30158934,0.58026075,0.69279563,1.1938976,2.9356208,2.9492698,34.990463,113.548454,0
84,0.0441235,0.12826596,0.30195117,0.5816703,0.69523203,1.1951069,2.934196,2.950288,34.99351,113.623055,0
85,0.04311548,0.12816909,0.31253818,0.5923352,0.6975424,1.197277,2.9340053,2.9535854,34.99449,113.71213,0
86,0.04216785,0.12808067,0.312651,0.5934719,0.6997237,1.1982799,2.9329352,2.954158,34.994083,113.777275,0
87,0.04128927,0.1280141,0.3128277,0.594485,0.70178235,1.1991771,2.932165,2.9544866,34.996033,113.83738,0
88,0.040478185,0.12796019,0.31305656,0.59539294,0.70371854,1.1999465,2.931585,2.9546363,34.99919,113.89145,0
89,0.039732706,0.12791377,0.3133276,0.596213,0.7055395,1.2006017,2.9311259,2.954707,35.00263,113.9386,0
90,0.03905031,0.12787184,0.31363222,0.5969576,0.7072539,1.2011735,2.9307404,2.9547894,35.005806,113.97863,0
91,0.03842785,0.12783249,0.31396276,0.5976347,0.708868,1.2016932,2.9303992,2.9549432,35.00849,114.01216,0
92,0.037861824,0.12779488,0.31431276,0.59824836,0.7103856,1.2021868,2.93009,2.9551966,35.010612,114.040146,0
93,0.037348602,0.12775873,0.314677,0.59880203,0.71180755,1.2026697,2.9298108,2.9555476,35.012207,114.06382,0
94,0.03688457,0.12772427,0.3150517,0.599299,0.71313405,1.203149,2.9295688,2.955974,35.013363,114.084114,0
95,0.03646626,0.12769201,0.31543395,0.5997441,0.7143647,1.2036239,2.9293735,2.956444,35.01416,114.101875,0
96,0.036090437,0.12766246,0.31582186,0.600143,0.7155,1.2040886,2.9292362,2.9569237,35.014687,114.11781,0
97,0.035754103,0.12763603,0.3270012,0.6079501,0.7165408,1.2040699,2.9286811,2.9563136,35.01464,114.137726,0
98,0.035454486,0.12761295,0.32752386,0.6082759,0.7174895,1.2044971,2.9286392,2.9567802,35.014038,114.15439,0
99,0.035188984,0.12759148,0.3279859,0.6084416,0.7183464,1.2048817,2.928585,2.9572113,35.013687,114.171455,0
100,0.034956295,0.12757349,0.32840073,0.6084843,0.7191154,1.2052072,2.9285543,2.9575665,35.013496,114.188934,0
101,0.034754906,0.12755953,0.32877892,0.60843813,0.7198026,1.2054658,2.9285614,2.957831,35.013363,114.20663,0
102,0.034583136,0.12754938,0.32912865,0.608332,0.720415,1.2056547,2.9286077,2.9580047,35.01325,114.22468,0
103,0.03443917,0.1275425,0.3294561,0.60818976,0.7209601,1.2057759,2.9286847,2.9580975,35.013065,114.24312,0
104,0.034321066,0.12753807,0.32976568,0.6080303,0.7214444,1.2058339,2.9287827,2.9581234,35.012787,114.262375,0
105,0.034226857,0.12753536,0.33006057,0.60786784,0.72187376,1.2058333,2.9288888,2.9580991,35.01238,114.28268,0
106,0.034154598,0.1275336,0.3303428,0.607712,0.7222526,1.2057806,2.9289925,2.9580357,35.0118,114.30444,0
107,0.034102347,0.12753217,0.3306139,0.60756946,0.7225848,1.2056806,2.9290829,2.957944,35.011044,114.32828,0
108,0.034068286,0.1275306,0.33087477,0.607444,0.7228728,1.2055374,2.9291518,2.9578302,35.01011,114.35462,0
109,0.034050692,0.12752862,0.3424731,0.6172728,0.7231194,1.2062066,2.930072,2.9596403,35.007187,114.40664,0
110,0.034048002,0.12752602,0.3424558,0.61706114,0.723323,1.2058932,2.9300797,2.9591966,35.00294,114.44479,0
111,0.034064792,0.12753499,0.3424608,0.61678267,0.7234898,1.2054942,2.930153,2.9585729,35.001045,114.48847,0
112,0.034098934,0.12754737,0.34248304,0.61645424,0.7236174,1.2049912,2.9302022,2.9578266,35.000317,114.53663,0
113,0.03414869,0.12755887,0.34251752,0.61609054,0.7237098,1.204401,2.9301767,2.9570472,34.999874,114.588394,0
114,0.03421233,0.12756692,0.3425597,0.615701,0.7237717,1.203754,2.9300418,2.9563127,34.999218,114.64358,0
115,0.034288045,0.12757011,0.34260496,0.61529034,0.7238049,1.2030809,2.92978,2.9556735,34.998116,114.70268,0
116,0.03437403,0.12756784,0.3426497,0.6148597,0.72380805,1.202405,2.9293861,2.9551456,34.996532,114.76662,0
117,0.034468576,0.12756014,0.3426908,0.6144097,0.72377735,1.2017399,2.928866,2.9547234,34.994514,114.83626,0
118,0.034570124,0.12754737,0.3427263,0.6139407,0.7237085,1.2010903,2.9282296,2.9543803,34.992138,114.912476,0
119,0.034677334,0.12753017,0.342755,0.61345494,0.7235971,1.2004536,2.9274912,2.9540837,34.989532,114.99594,0
120,0.034789085,0.12750907,0.34277633,0.61295533,0.7234395,1.1998231,2.926663,2.9537983,34.98675,115.08715,0
121,0.034904454,0.12748456,0.3548881,0.62027246,0.72323287,1.198344,2.9248717,2.951549,34.98378,115.18824,0
122,0.035022635,0.1274568,0.35513973,0.6197802,0.722977,1.1977319,2.9238322,2.9513557,34.98049,115.29847,0
123,0.035141353,0.12742044,0.35528564,0.61912525,0.7226662,1.1971041,2.9225836,2.9511905,34.977097,115.41811,0
124,0.035261746,0.12738001,0.35534722,0.6183488,0.7223021,1.1964465,2.9211986,2.950989,34.97376,115.54701,0
125,0.035384532,0.12733756,0.355342,0.61748815,0.72188747,1.1957473,2.919715,2.9507124,34.970547,115.68502,0
126,0.035510026,0.1272936,0.35528418,0.61657554,0.7214267,1.1949992,2.9181478,2.9503415,34.96753,115.83196,0
127,0.035638265,0.12724794,0.35518524,0.61563784,0.7209251,1.1941997,2.9164984,2.9498768,34.9647,115.98747,0
128,0.03576897,0.12720002,0.35505375,0.6146965,0.72038805,1.1933514,2.91476,2.949333,34.962032,116.15136,0
129,0.03590162,0.12714894,0.35489652,0.6137669,0.71982086,1.1924607,2.9129229,2.9487302,34.959484,116.32346,0
130,0.036035486,0.12709397,0.35471848,0.6128598,0.71922797,1.1915365,2.910977,2.948093,34.957027,116.50378,0
131,0.036169685,0.12703435,0.35452342,0.6119817,0.718613,1.1905895,2.9089117,2.9474423,34.954597,116.692,0
132,0.03630325,0.12696959,0.354314,0.61113566,0.71797866,1.1896306,2.906721,2.9467962,34.952206,116.88857,0
133,0.036435135,0.1268993,0.36665064,0.61904836,0.7173261,1.188182,2.9038932,2.9450378,34.94927,117.10098,0
134,0.03656429,0.12682322,0.3665545,0.6182522,0.716656,1.1872306,2.9014008,2.9444857,34.94589,117.31769,0
135,0.03668983,0.12673973,0.36637622,0.617336,0.7159654,1.1862841,2.8986979,2.9439898,34.943047,117.543976,0
136,0.036812022,0.12665084,0.36613345,0.6163309,0.71525323,1.1853378,2.8958304,2.9435165,34.940598,117.77922,0
137,0.036930878,0.12655748,0.3658408,0.6152646,0.71452105,1.1843935,2.8928275,2.9430513,34.938404,118.022766,0
138,0.037046127,0.1264601,0.36551023,0.61416084,0.71377134,1.1834581,2.8897066,2.9425902,34.936424,118.27414,0
139,0.037157245,0.1263587,0.3651511,0.6130388,0.7130067,1.1825387,2.8864772,2.9421356,34.934628,118.532845,0
140,0.03726353,0.12625317,0.3647709,0.61191404,0.7122298,1.1816447,2.8831468,2.9416935,34.933006,118.79845,0
141,0.037364144,0.12614343,0.36437553,0.6107982,0.7114431,1.1807832,2.8797197,2.9412704,34.931553,119.07087,0
142,0.037458185,0.12602931,0.36396965,0.60970026,0.7106493,1.1799619,2.8762007,2.9408727,34.9303,119.34921,0
143,0.037544727,0.12591083,0.36355695,0.6086266,0.7098506,1.1791877,2.8725944,2.9405098,34.929417,119.63251,0
144,0.037622858,0.12578797,0.36314023,0.60758203,0.70904976,1.1784673,2.8689075,2.940189,34.92901,119.91965,0
145,0.037691724,0.12566112,0.3759253,0.6185764,0.7082506,1.1791656,2.8665473,2.9430878,34.925854,120.25307,0
146,0.037750572,0.12553053,0.37510467,0.6174291,0.70745265,1.1784459,2.8627334,2.9424393,34.922195,120.55183,0
147,0.037807953,0.1254143,0.3743577,0.6162411,0.70666635,1.1777364,2.8590326,2.9416153,34.92282,120.852844,0
148,0.03786173,0.12530102,0.373672,0.6150305,0.7058923,1.1770267,2.8553257,2.9407344,34.925636,121.15262,0
149,0.037910253,0.12518507,0.37303698,0.6138132,0.7051401,1.1763563,2.851552,2.9399455,34.929253,121.4488,0
150,0.03795182,0.12506361,0.37244287,0.61259806,0.70441914,1.1757808,2.847683,2.939373,34.93287,121.74016,0
151,0.037984572,0.124935634,0.3718817,0.61138874,0.70373434,1.1753495,2.843716,2.9390886,34.936108,122.027145,0
152,0.038006634,0.12480136,0.37134686,0.6101864,0.70308656,1.1750975,2.839667,2.939111,34.93886,122.31017,0
153,0.038016316,0.12466193,0.3708339,0.60899264,0.70247304,1.1750407,2.8355706,2.9394126,34.941147,122.58994,0
154,0.03801232,0.12451909,0.37033996,0.6078112,0.7018904,1.1751789,2.831466,2.93994,34.943077,122.866844,0
155,0.037993778,0.12437469,0.36986366,0.6066491,0.7013356,1.1754969,2.8273942,2.9406238,34.944817,123.14084,0
156,0.0379603,0.12423055,0.36940488,0.605516,0.700807,1.1759717,2.8233912,2.9413974,34.946487,123.41165,0
157,0.03791198,0.12408822,0.38286322,0.6154562,0.7003055,1.1769632,2.8198767,2.943104,34.946,123.71288,0
158,0.037849296,0.123948835,0.38232538,0.6143254,0.69983184,1.177598,2.8160675,2.9436946,34.94529,123.98278,0
159,0.037777346,0.123820476,0.38180324,0.61314464,0.6993919,1.1782604,2.8124208,2.9441335,34.947,124.24787,0
160,0.037697047,0.1236989,0.3812998,0.61195374,0.6989905,1.178911,2.8089,2.9444478,34.950047,124.506775,0
161,0.037609443,0.12358167,0.38081667,0.610787,0.6986384,1.1795437,2.8054812,2.9447045,34.953655,124.75819,0
162,0.037515353,0.12346715,0.38035423,0.6096709,0.6983466,1.1801704,2.802144,2.9449775,34.95738,125.00155,0
163,0.037415244,0.12335421,0.37991214,0.60862345,0.6981236,1.1808066,2.7988784,2.9453187,34.960915,125.236885,0
164,0.037309367,0.12324232,0.37948948,0.60765666,0.6979738,1.1814656,2.7956784,2.9457579,34.964165,125.46486,0
165,0.037197832,0.12313135,0.3790854,0.60677785,0.6978987,1.1821555,2.7925491,2.9463036,34.96708,125.68573,0
166,0.03708077,0.12302158,0.37869915,0.60599124,0.6978968,1.1828771,2.7894995,2.9469438,34.96968,125.89974,0
167,0.03695834,0.12291353,0.37833035,0.6052994,0.6979653,1.183627,2.7865417,2.9476552,34.97203,126.10725,0
168,0.036830872,0.122807816,0.37797883,0.60470396,0.69810015,1.1843965,2.7836876,2.9484098,34.974205,126.30824,0
169,0.036698844,0.122704975,0.3922805,0.6139742,0.6982964,1.1843016,2.7800972,2.9471607,34.97594,126.5085,0
170,0.036562834,0.12260545,0.39216587,0.6135795,0.69854987,1.1851047,2.7774222,2.948056,34.97737,126.703,0
171,0.03642255,0.122504584,0.3919744,0.6131119,0.6988507,1.1858932,2.7747438,2.9489937,34.97877,126.89206,0
172,0.036280286,0.12240681,0.39172983,0.6126095,0.6991944,1.1866521,2.7721355,2.9499092,34.980278,127.074745,0
173,0.03613788,0.12231416,0.39145082,0.6121041,0.6995777,1.1873688,2.7696366,2.9507604,34.98199,127.25056,0
174,0.035996765,0.122227296,0.39115167,0.6116223,0.6999983,1.1880368,2.7672648,2.9515295,34.983917,127.418976,0
175,0.035858065,0.12214624,0.3908428,0.6111845,0.7004549,1.1886541,2.765025,2.9522178,34.986046,127.57973,0
176,0.035722584,0.12207056,0.39053196,0.6108053,0.70094573,1.1892247,2.762912,2.9528375,34.988354,127.733116,0
177,0.03559085,0.12199969,0.39022446,0.6104941,0.70146906,1.1897559,2.7609198,2.953409,34.990707,127.87876,0
178,0.035463195,0.12193301,0.38992387,0.6102556,0.70202255,1.1902575,2.7590394,2.953953,34.9931,128.0177,0
179,0.03533978,0.12187004,0.3896327,0.61009085,0.7026027,1.1907398,2.7572646,2.9544883,34.99542,128.14977,0
180,0.03522066,0.12181041,0.38935235,0.60999817,0.7032057,1.1912118,2.755588,2.9550292,34.99767,128.27551,0
181,0.035105836,0.12175372,0.4045965,0.6192107,0.7038256,1.1899486,2.7523632,2.9516354,35.000656,128.36746,0
182,0.03499523,0.121699855,0.4047371,0.6193241,0.70445883,1.1905208,2.7508016,2.9525855,35.003475,128.49326,0
183,0.03488506,0.12163602,0.4047355,0.61928225,0.7050892,1.1911191,2.749097,2.9537237,35.00458,128.61725,0
184,0.034777693,0.12157211,0.40463182,0.61912835,0.70571196,1.191746,2.7473965,2.9549308,35.004845,128.73567,0
185,0.03467475,0.121513024,0.40445694,0.6189001,0.7063202,1.192382,2.7457829,2.956093,35.00497,128.84764,0
186,0.03457744,0.12146097,0.40423486,0.6186308,0.7069092,1.1930014,2.7443023,2.9571335,35.005417,128.95345,0
187,0.03448677,0.121416666,0.4039837,0.6183499,0.7074772,1.1935812,2.742972,2.958012,35.00637,129.05219,0
188,0.03440351,0.121379934,0.40371698,0.61808187,0.7080263,1.1941086,2.7417924,2.9587276,35.00788,129.14511,0
189,0.03432817,0.121349916,0.4034443,0.6178453,0.7085602,1.194581,2.7407534,2.9593055,35.009792,129.23138,0
190,0.034261007,0.121325605,0.40317205,0.6176532,0.7090836,1.1950052,2.7398381,2.959788,35.012012,129.31229,0
191,0.03420199,0.12130586,0.40290448,0.61751264,0.7096009,1.1953936,2.7390292,2.9602215,35.01435,129.38776,0
192,0.034150917,0.12128973,0.40264422,0.6174264,0.7101152,1.1957616,2.7383106,2.9606457,35.016666,129.45801,0
193,0.03410736,0.121276446,0.4186236,0.6285928,0.71062773,1.1954124,2.7370088,2.9594848,35.018166,129.54535,0
194,0.03407082,0.12126553,0.4185301,0.6285945,0.71113795,1.1957926,2.7363899,2.960054,35.01904,129.61433,0
