"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,FIB

timestep,value
105,-0.006399196
106,-0.0060841264
107,-0.0057663857
108,-0.0054432936
109,0.007715084
110,0.007846126
111,0.008012331
112,0.00821646
113,0.0084596975
114,0.008742108
115,0.009063277
116,0.009422948
117,0.009820813
118,0.010257232
119,0.010733175
120,0.011249897
121,0.025683545
122,0.025982784
123,0.026333634
124,0.026740655
125,0.027208041
126,0.027739558
127,0.028338382
128,0.029007066
129,0.029747458
130,0.030560715
131,0.031447407
132,0.032407768
133,0.047736235
134,0.048487116
135,0.04932172
136,0.050240356
137,0.05124294
138,0.052328367
139,0.053495035
140,0.05474084
141,0.056063008
142,0.0574585
143,0.058923617
144,0.060454
145,0.07676652
146,0.078062594
147,0.079442255
148,0.08089712
149,0.08241646
150,0.08398803
151,0.085599236
152,0.087237775
153,0.08889224
154,0.09055256
155,0.09221022
156,0.09385816
157,0.11037308
158,0.11160455
159,0.112841815
160,0.11408198
161,0.11532162
162,0.116556875
163,0.11778366
164,0.118998095
165,0.1201967
166,0.12137649
167,0.122535266
168,0.123671345
169,0.13994348
170,0.1405997
171,0.14124715
172,0.14188723
173,0.14252096
174,0.143149
175,0.14377163
176,0.14438851
177,0.14499874
178,0.14560123
179,0.14619446
180,0.14677672
181,0.16296913
182,0.16302973
183,0.16308387
184,0.16313264
185,0.1631777
186,0.16322063
187,0.16326283
188,0.16330504
189,0.16334742
190,0.1633893
191,0.16342959
192,0.16346632
193,0.17951502
194,0.17904246
195,0.17858106
196,0.17812973
197,0.1776873
198,0.17725216
199,0.17682259
200,0.17639655
201,0.17597187
202,0.17554626
203,0.17511752
204,0.17468315
205,0.19056314
206,0.18960883
207,0.18867111
208,0.18774797
209,0.18683638
210,0.18593265
211,0.1850326
212,0.1841317
213,0.18322572
214,0.18231061
215,0.1813828
216,0.18043931
217,0.1961177
218,0.19452612
219,0.19293046
220,0.19133061
221,0.18972676
222,0.18811885
223,0.18650657
224,0.18488894
225,0.18326418
226,0.18162978
227,0.17998262
228,0.17831883
229,0.19333446
230,0.1909661
231,0.18858671
232,0.18619306
233,0.18378226
234,0.18135132
235,0.17889711
236,0.17641576
237,0.1739027
238,0.17135248
239,0.16875887
240,0.16611496
241,0.16998142
242,0.16688834
243,0.16371958
244,0.16046825
245,0.15712854
246,0.15369514
247,0.15016294
248,0.14652625
249,0.14277847
250,0.1389119
251,0.1349177
252,0.13078597
253,0.13298196
254,0.1281003
255,0.12302499
256,0.11774457
257,0.11225146
258,0.10654008
259,0.10060559
260,0.09444285
261,0.08804543
262,0.08140558
263,0.07451392
264,0.06735998
265,0.06653839
266,0.058497116
267,0.05015348
268,0.0414973
269,0.03252212
270,0.02322531
271,0.013607387
272,0.0036720317
273,-0.006573742
274,-0.01711972
275,-0.02795204
276,-0.039053004
277,-0.04352162
