"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,"Prey of Whales"

timestep\group,Cod,Whiting,Mackerel,Anchovy,Benthos,
1,0.101982065,0.10078546,0.20172136,0.49740174,0.09810949
2,0.09632361,0.10363952,0.20667017,0.49710944,0.09625724
3,0.088201515,0.10138105,0.20887417,0.5093709,0.09217231
4,0.07701042,0.09216908,0.2030468,0.54266787,0.085105814
5,0.06743529,0.08091759,0.19071595,0.58298314,0.07794807
6,0.07146491,0.081867844,0.20027284,0.56356144,0.0828329
7,0.076684535,0.08490704,0.21562414,0.5395551,0.08322916
8,0.08367854,0.09009126,0.23402195,0.5118084,0.08039985
9,0.09264589,0.097332515,0.25284022,0.4811196,0.076061696
10,0.10330861,0.106231295,0.27010202,0.44878805,0.07156998
11,0.11636781,0.117367506,0.28775617,0.409958,0.06855049
12,0.13098118,0.13053143,0.30714488,0.36438128,0.06696133
13,0.14480896,0.14419469,0.32723242,0.3177007,0.06606321
14,0.1595899,0.16032138,0.33129713,0.28160602,0.06718558
15,0.17471436,0.177023,0.3224451,0.25573617,0.07008134
16,0.18958789,0.17817564,0.31828186,0.23927787,0.07467669
17,0.2023908,0.17461742,0.31468967,0.22836488,0.07993709
18,0.21180241,0.17087793,0.31034988,0.22163221,0.08533759
19,0.21751216,0.16714624,0.30564,0.21894056,0.09076105
20,0.2195901,0.16352352,0.30079967,0.22000065,0.096086055
21,0.21862698,0.15916957,0.29624987,0.2246629,0.101290695
22,0.21566048,0.15186551,0.2924295,0.23343123,0.10661329
23,0.21121457,0.14261585,0.28907242,0.24534628,0.11175088
24,0.20570064,0.13231437,0.2858941,0.25961274,0.11647816
25,0.20016523,0.12211586,0.2798589,0.27671492,0.12114516
26,0.19502449,0.11279689,0.26928338,0.29689756,0.1259977
27,0.19030723,0.10435595,0.2552512,0.31929213,0.1307935
28,0.18578959,0.09680397,0.23900062,0.34305996,0.13534588
29,0.18129131,0.0901285,0.22171485,0.3673611,0.13950422
30,0.17669265,0.08430419,0.20442428,0.39141327,0.14316568
31,0.17193715,0.07929628,0.18794432,0.41454393,0.14627837
32,0.16702406,0.0750615,0.17285268,0.4362254,0.14883636
33,0.16199404,0.07154907,0.1594998,0.45608795,0.1508692
34,0.15691318,0.068702474,0.14804327,0.4739118,0.15242937
35,0.15185823,0.06646181,0.13849394,0.48960584,0.1535802
36,0.14690469,0.064766355,0.13076262,0.50317985,0.15438642
37,0.14208612,0.06352834,0.12472112,0.5147611,0.15490338
38,0.13700664,0.06275504,0.12023344,0.52472746,0.1552775
39,0.13229541,0.0623474,0.11703543,0.53288406,0.15543774
40,0.12795703,0.06225889,0.11495331,0.5394088,0.155422
41,0.1239829,0.062446114,0.113825366,0.5444875,0.15525822
42,0.1203546,0.062868685,0.11350522,0.54830563,0.15496586
43,0.11704772,0.063489154,0.113862485,0.55104256,0.1545582
44,0.11403458,0.06427275,0.11478198,0.55286664,0.15404403
45,0.111286804,0.065187365,0.11616268,0.5539334,0.15342979
46,0.10877687,0.06620334,0.11791573,0.5543832,0.15272085
47,0.106479034,0.067293435,0.11996346,0.5543415,0.15192255
48,0.104370326,0.06843283,0.12223776,0.55391824,0.15104088
49,0.10230378,0.069577694,0.124680296,0.5533018,0.15013641
50,0.10105365,0.07068158,0.12714984,0.5520717,0.14904325
51,0.09973265,0.07176921,0.12971406,0.55085325,0.14793088
52,0.09838178,0.07282804,0.13233031,0.5496659,0.14679399
53,0.09703451,0.0738491,0.13496357,0.54852,0.14563285
54,0.09571755,0.074826665,0.13758594,0.547418,0.14445187
55,0.094451435,0.07575754,0.14017624,0.54635656,0.14325821
56,0.09325111,0.0766404,0.14271891,0.54532933,0.14206028
57,0.092126615,0.07747528,0.14520326,0.5443279,0.14086695
58,0.09108411,0.07826322,0.14762272,0.54334325,0.13968666
59,0.090126745,0.079006,0.14997412,0.54236615,0.13852699
60,0.089255415,0.079705976,0.15225686,0.5413874,0.13739434
