"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,"PredationMortality of Zooplankton"

timestep\group,Mackerel,Anchovy,Benthos,
1,0.16227254,4.364832,2.6465662
2,0.16020313,4.3091693,2.5952744
3,0.15820026,4.255291,2.55732
4,0.15709773,4.225627,2.5426438
5,0.15762341,4.239764,2.5520484
6,0.15890561,4.27426,2.5615425
7,0.16002405,4.304344,2.5542789
8,0.16068925,4.3222327,2.5303009
9,0.16092835,4.3286567,2.497003
10,0.16090375,4.327987,2.46346
11,0.16077957,4.3246408,2.4367754
12,0.1606589,4.321388,2.420472
13,0.16058153,4.319299,2.414724
14,0.16054837,4.318406,2.4177248
15,0.16054292,4.318265,2.4268038
16,0.1605491,4.318436,2.4394464
17,0.16055596,4.318626,2.4536521
18,0.16055943,4.318724,2.4680312
19,0.16056018,4.318751,2.4817073
20,0.1605602,4.318758,2.4941752
21,0.16056137,4.318795,2.505191
22,0.16056463,4.318888,2.5146976
23,0.16056971,4.3190303,2.5227602
24,0.1605759,4.319201,2.5295336
25,0.16058199,4.319373,2.5351944
26,0.16058823,4.319552,2.540028
27,0.16059394,4.3197203,2.5442529
28,0.16059874,4.3198676,2.5480793
29,0.1606026,4.3199916,2.5516846
30,0.16060546,4.320093,2.555204
31,0.16060765,4.320177,2.558731
32,0.16060933,4.32025,2.5623183
33,0.1606106,4.320311,2.5659835
34,0.16061164,4.3203645,2.5697217
35,0.16061264,4.320416,2.5735097
36,0.1606136,4.3204627,2.5773134
37,0.16061369,4.320482,2.5810118
38,0.16061522,4.320536,2.5846956
39,0.1606172,4.320597,2.58829
40,0.16061911,4.320652,2.59177
41,0.16062097,4.320702,2.5951238
42,0.16062272,4.3207455,2.5983422
43,0.16062433,4.3207827,2.6014235
44,0.16062585,4.320815,2.6043656
45,0.16062729,4.3208427,2.6071703
46,0.16062859,4.3208675,2.6098397
47,0.1606298,4.320887,2.612377
48,0.16063075,4.3209014,2.6147861
49,0.16063292,4.320947,2.6172094
50,0.16063246,4.320923,2.6194403
51,0.16063185,4.3208957,2.621571
52,0.16063164,4.320878,2.6236005
53,0.16063167,4.3208685,2.625521
54,0.1606318,4.320861,2.6273284
55,0.16063182,4.320852,2.6290205
56,0.16063164,4.320838,2.6305997
57,0.16063121,4.3208175,2.6320744
58,0.16063054,4.3207917,2.633451
59,0.16062957,4.320758,2.634738
60,0.16062841,4.320719,2.6359441
61,0.16062309,4.3205695,2.6368694
62,0.16062495,4.3206134,2.6378953
63,0.16062556,4.320624,2.6388235
64,0.16062436,4.320586,2.6396627
65,0.16062191,4.320514,2.6404393
66,0.16061874,4.320425,2.6411774
67,0.16061537,4.3203287,2.6418884
68,0.16061194,4.320233,2.6425767
69,0.16060859,4.320139,2.6432395
70,0.1606053,4.320047,2.6438706
71,0.16060206,4.3199553,2.6444623
72,0.16059877,4.3198633,2.6450088
73,0.16059315,4.31971,2.6454148
74,0.16059245,4.3196874,2.6458716
75,0.16059066,4.319636,2.646254
76,0.16058795,4.319561,2.6465733
77,0.16058475,4.319472,2.6468437
78,0.16058138,4.3193784,2.6470802
79,0.16057807,4.3192883,2.647294
80,0.16057496,4.319202,2.6474888
81,0.16057204,4.3191223,2.6476684
82,0.16056938,4.3190484,2.6478314
83,0.1605669,4.3189807,2.647978
84,0.16056463,4.3189178,2.6481068
85,0.16056034,4.3188004,2.6481383
86,0.16056098,4.318816,2.6482477
87,0.16056041,4.3187995,2.6483128
88,0.16055888,4.3187575,2.6483414
89,0.1605569,4.3187027,2.6483502
90,0.16055481,4.318647,2.6483512
91,0.16055286,4.3185935,2.6483526
92,0.16055115,4.3185463,2.6483572
93,0.16054972,4.3185077,2.6483657
94,0.16054852,4.3184743,2.6483746
95,0.1605476,4.318448,2.6483834
96,0.16054682,4.318427,2.6483886
97,0.1605457,4.3183956,2.6483998
98,0.16054572,4.318396,2.6484194
99,0.16054578,4.3183966,2.6484346
100,0.1605457,4.3183956,2.6484413
101,0.1605457,4.318395,2.6484418
102,0.16054578,4.318396,2.6484365
103,0.16054589,4.318399,2.6484282
104,0.1605461,4.3184047,2.6484191
105,0.16054645,4.3184137,2.648411
106,0.16054688,4.3184247,2.648405
107,0.16054744,4.31844,2.6484036
108,0.16054814,4.318459,2.6484082
109,0.1605468,4.3184233,2.6483471
110,0.16055056,4.318524,2.6483908
111,0.16055289,4.318587,2.6484115
112,0.16055442,4.318627,2.6484234
113,0.16055548,4.318656,2.6484382
114,0.16055654,4.318685,2.6484692
115,0.16055776,4.318718,2.6485205
116,0.16055927,4.318758,2.6485944
117,0.16056101,4.3188057,2.6486905
118,0.160563,4.318859,2.6488059
119,0.16056536,4.318922,2.6489394
120,0.16056791,4.3189898,2.6490865
121,0.16057022,4.319053,2.6492772
122,0.16057314,4.319132,2.6494782
123,0.16057633,4.3192167,2.6496987
124,0.16057973,4.3193083,2.6499333
125,0.16058317,4.3194017,2.6501763
126,0.16058677,4.3194985,2.6504288
127,0.16059047,4.3195977,2.6506913
128,0.16059424,4.3197002,2.6509647
129,0.16059805,4.3198023,2.6512506
130,0.16060208,4.31991,2.6515524
131,0.16060618,4.320021,2.6518703
132,0.1606105,4.320137,2.6522079
133,0.16061422,4.320238,2.6525724
134,0.16061975,4.320387,2.652981
135,0.16062514,4.3205314,2.6534061
136,0.16063054,4.320676,2.6538475
137,0.16063596,4.320823,2.6543043
138,0.16064161,4.3209753,2.654776
139,0.1606474,4.32113,2.655262
140,0.16065337,4.3212914,2.6557639
141,0.16065952,4.321458,2.6562798
142,0.16066588,4.321627,2.65681
143,0.16067219,4.321797,2.6573493
144,0.16067831,4.321963,2.6578958
145,0.16068171,4.322054,2.658348
146,0.16069277,4.3223505,2.6589584
147,0.16069964,4.322537,2.6594985
148,0.16070418,4.322658,2.6600013
149,0.16070764,4.3227515,2.660497
150,0.16071069,4.322832,2.6610003
151,0.16071367,4.322912,2.661518
152,0.16071682,4.322998,2.6620533
153,0.16072011,4.323085,2.6625981
154,0.16072334,4.3231726,2.6631453
155,0.16072653,4.323259,2.6636882
156,0.16072948,4.323337,2.6642177
157,0.16073136,4.3233867,2.6647012
158,0.16073708,4.3235416,2.665244
159,0.16073921,4.3235984,2.6657076
160,0.16073936,4.3236027,2.666119
161,0.1607384,4.323577,2.6664982
162,0.16073678,4.323532,2.6668563
163,0.16073456,4.323472,2.6671968
164,0.16073216,4.3234076,2.6675277
165,0.16072941,4.323333,2.6678443
166,0.16072631,4.3232484,2.6681476
167,0.16072284,4.3231554,2.6684334
168,0.16071886,4.3230476,2.668698
169,0.16071403,4.3229175,2.6689699
170,0.1607098,4.322802,2.6692283
171,0.16070496,4.322672,2.6694674
172,0.16069946,4.322524,2.6696799
173,0.16069327,4.3223553,2.6698616
174,0.16068636,4.3221703,2.670013
175,0.1606789,4.3219686,2.6701355
176,0.16067111,4.3217587,2.6702356
177,0.16066293,4.321539,2.6703131
178,0.16065483,4.3213196,2.6703763
