"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,"PredationMortality of Detritus"

timestep\group,Benthos,Zooplankton,
1,27.352074,16.508165
2,26.942976,11.837542
3,26.641996,8.793175
4,26.576857,7.344173
5,26.706282,7.0866637
6,26.745823,7.506607
7,26.571207,8.160331
8,26.244143,8.7543955
9,25.861115,9.163695
10,25.504934,9.39726
11,25.232943,9.52388
12,25.071234,9.611801
13,25.017206,9.703778
14,25.051096,9.8171425
15,25.145943,9.952999
16,25.276693,10.1062
17,25.423506,10.271352
18,25.57239,10.4455595
19,25.714252,10.628328
20,25.843697,10.820337
21,25.957998,11.022237
22,26.056437,11.23397
23,26.139647,11.454567
24,26.209288,11.682463
25,26.2673,11.915849
26,26.316612,12.153079
27,26.359581,12.392348
28,26.398438,12.632117
29,26.435059,12.871208
30,26.470863,13.108767
31,26.506815,13.344211
32,26.54345,13.577147
33,26.580967,13.8073015
34,26.619287,14.034507
35,26.65816,14.258618
36,26.697245,14.479522
37,26.735365,14.697215
38,26.773224,14.912175
39,26.810143,15.123724
40,26.845894,15.331233
41,26.880346,15.53423
42,26.913445,15.732371
43,26.945137,15.925384
44,26.975407,16.11304
45,27.004276,16.295126
46,27.031765,16.471455
47,27.057898,16.641867
48,27.082726,16.806244
49,27.107552,16.964258
50,27.130665,17.11494
51,27.15277,17.259504
52,27.173798,17.398653
53,27.193695,17.532663
54,27.212399,17.661575
55,27.229918,17.785305
56,27.246283,17.90376
57,27.26157,18.016893
58,27.275879,18.124704
59,27.289265,18.22721
60,27.301838,18.324509
61,27.311922,18.417507
62,27.322388,18.509443
63,27.331913,18.596706
64,27.340652,18.67793
65,27.348848,18.752855
66,27.356693,18.82182
67,27.3643,18.885405
68,27.371681,18.944176
69,27.378801,18.998632
70,27.38559,19.04914
71,27.391968,19.095934
72,27.397882,19.139162
73,27.402565,19.179592
74,27.407354,19.219389
75,27.41144,19.25626
76,27.41493,19.289623
77,27.417957,19.319424
78,27.420656,19.345934
79,27.42311,19.3695
80,27.42536,19.390488
81,27.427431,19.40925
82,27.429327,19.426067
83,27.431036,19.441181
84,27.432543,19.45477
85,27.433239,19.467567
86,27.434334,19.481558
87,27.435019,19.49428
88,27.435423,19.505127
89,27.435646,19.51402
90,27.435808,19.52118
91,27.435966,19.526907
92,27.436134,19.531532
93,27.436335,19.535364
94,27.436516,19.538616
95,27.436686,19.541508
96,27.436806,19.544153
97,27.437006,19.546755
98,27.437208,19.54994
99,27.437368,19.553331
100,27.43745,19.556824
101,27.43745,19.56039
102,27.43739,19.564034
103,27.437305,19.567783
104,27.437187,19.571695
105,27.437082,19.575851
106,27.436995,19.580336
107,27.436937,19.585253
108,27.436934,19.590715
109,27.436445,19.597435
110,27.436615,19.607414
111,27.436646,19.618158
112,27.436646,19.629128
113,27.436705,19.640263
114,27.43694,19.651777
115,27.437384,19.663946
116,27.438042,19.67707
117,27.43891,19.691425
118,27.43996,19.707197
119,27.441175,19.724539
120,27.442522,19.743546
121,27.44431,19.76423
122,27.446188,19.786991
123,27.448246,19.81182
124,27.450426,19.838684
125,27.452696,19.867502
126,27.455051,19.898176
127,27.457493,19.930624
128,27.460047,19.964745
129,27.462713,20.000488
130,27.465546,20.037851
131,27.468534,20.07681
132,27.4717,20.117392
133,27.4752,20.159758
134,27.47902,20.20467
135,27.483027,20.251474
136,27.487194,20.299974
137,27.491516,20.35008
138,27.495977,20.401686
139,27.500587,20.454708
140,27.505325,20.509077
141,27.510204,20.564705
142,27.515215,20.621477
143,27.520327,20.679165
144,27.525509,20.73748
145,27.53001,20.79757
146,27.535471,20.8617
147,27.540506,20.925043
148,27.545347,20.986673
149,27.55018,21.046356
150,27.555143,21.104244
151,27.560268,21.16063
152,27.565552,21.21584
153,27.570946,21.270138
154,27.576357,21.32372
155,27.581728,21.376673
156,27.586983,21.42899
157,27.59187,21.481827
158,27.59703,21.536259
159,27.601633,21.589302
160,27.605858,21.640438
161,27.60982,21.689484
162,27.613615,21.736465
163,27.617283,21.781496
164,27.620867,21.824806
165,27.624332,21.86656
166,27.627684,21.906937
167,27.630888,21.94608
168,27.633898,21.984037
169,27.637037,22.02099
170,27.640028,22.057487
171,27.642845,22.093248
172,27.64545,22.128195
173,27.647785,22.162142
174,27.64985,22.194967
175,27.651665,22.226545
176,27.653269,22.256804
177,27.654676,22.285683
178,27.655924,22.313225
179,27.657047,22.339464
180,27.658056,22.364475
181,27.659254,22.386911
182,27.660685,22.408821
183,27.662306,22.430614
184,27.663845,22.452444
185,27.665146,22.474215
186,27.666168,22.495707
187,27.666885,22.516592
188,27.667358,22.536583
189,27.667612,22.555428
190,27.667727,22.57301
191,27.667753,22.589275
192,27.667713,22.60422
193,27.668108,22.618776
194,27.668344,22.632751
195,27.668524,22.646032
196,27.66865,22.658583
197,27.66868,22.670269
198,27.668596,22.681034
199,27.6684,22.690798
200,27.668095,22.69952
201,27.667656,22.707117
202,27.667099,22.713593
203,27.666412,22.718906
204,27.665604,22.723063
205,27.665447,22.728725
