"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 10/6/1920)"
Date,"7/9/2026 2:52:03 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"C:/Users/ANC/OneDrive - NIVA/Projects/2025/2025CLIMAX/WP1/RPackage/ecocx/inst/extdata/anchovy_bay_ecosim_ex.eiixml"
"<HEADER ecosim/>"
EcosimScenario,"Scene 1"
TimeSeries,-
StartYear,0
"<HEADER end/>"

Data,"PredationMortality of Anchovy"

timestep\group,Whales,Cod,Whiting,Mackerel,
1,0.051071968,0.14012015,0.3561624,0.3744628
2,0.05114924,0.13820073,0.3566486,0.37497362
3,0.057158202,0.15183859,0.40052706,0.42110643
4,0.072785094,0.18903741,0.5187527,0.5454066
5,0.09719579,0.24574983,0.7164649,0.75327635
6,0.09603378,0.24309736,0.71733576,0.7541912
7,0.09568742,0.24283369,0.717891,0.75477487
8,0.09595818,0.24527472,0.71805704,0.75494874
9,0.096595794,0.25004277,0.7179384,0.75482315
10,0.09737709,0.2562429,0.7177261,0.75459826
11,0.094914906,0.25465584,0.691608,0.7271368
12,0.0884148,0.24177594,0.6349089,0.6675241
13,0.0798828,0.22298242,0.56506956,0.59409654
14,0.070893645,0.20002027,0.49485293,0.520272
15,0.06255237,0.17761323,0.43156198,0.4537284
16,0.055406466,0.157682,0.37832707,0.39775833
17,0.049626153,0.14112347,0.33566752,0.35290715
18,0.045142982,0.12798887,0.30275264,0.31830105
19,0.04179665,0.117949046,0.27821055,0.2924979
20,0.039406255,0.1105428,0.2605758,0.27395663
21,0.037798513,0.105294265,0.2485026,0.26126257
22,0.036690947,0.101772875,0.2408429,0.25320873
23,0.036060765,0.09961701,0.23665538,0.2488054
24,0.035837293,0.09852812,0.23518533,0.247259
25,0.03593072,0.09856715,0.2358324,0.24793784
26,0.036269188,0.09893177,0.23811738,0.25033855
27,0.036794238,0.09977335,0.24165201,0.25405207
28,0.03745829,0.10096509,0.2461202,0.2587462
29,0.03822181,0.102402695,0.25125965,0.26414537
30,0.039051436,0.103998676,0.25684828,0.2700158
31,0.039918453,0.10567858,0.26269472,0.2761556
32,0.04079786,0.10737864,0.26863173,0.28239012
33,0.041667905,0.10904456,0.27451333,0.28856522
34,0.042509787,0.11063117,0.28021255,0.2945469
35,0.04330768,0.11210237,0.28562218,0.3002245
36,0.0440488,0.11343134,0.2906552,0.3055059
37,0.044723574,0.11564834,0.29524696,0.31032348
38,0.0453257,0.116601214,0.2993512,0.3146305
39,0.045850012,0.11738513,0.30293304,0.31838945
40,0.04629618,0.118006505,0.3059891,0.3215966
41,0.046667304,0.11847884,0.30853936,0.3242731
42,0.04696942,0.11882116,0.31062353,0.32646084
43,0.047210623,0.11905591,0.312296,0.32821667
44,0.04740037,0.119207144,0.31362018,0.32960722
45,0.0475487,0.11929907,0.3146637,0.3307034
46,0.047665738,0.11935484,0.31549487,0.33157706
47,0.047761172,0.11939591,0.31617925,0.3322985
48,0.047843903,0.11944122,0.3167771,0.33292758
49,0.047921784,0.11742788,0.31733975,0.33352336
50,0.048001286,0.117662646,0.31791475,0.33413023
51,0.048091725,0.1178991,0.3185635,0.33481458
52,0.04819689,0.11815532,0.31931168,0.33560506
53,0.048318215,0.11844202,0.32016924,0.33650863
54,0.048455436,0.118764356,0.32113433,0.33752528
55,0.048607223,0.11912369,0.32219803,0.3386454
56,0.04877172,0.11951914,0.32334793,0.33985734
